Name,RegNr,Beschäftigte,Betrag,GeschäftsjahrStart,GeschäftsjahrEnde,Interessen,Tätigkeit,Ersteintrag,LetzteÄnd
Wintershall Dea AG,R001889,5,1905000,2022-01-01,2022-12-01,"Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,16.04.2024
Wir Für Zukunft eG,R003902,15,75000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Menschenrechte; Berufliche Bildung; Schulische Bildung; Parlamentarisches Verfahren; Rechtsstellung der Abgeordneten; Wahlrecht; Sonstiges im Bereich ""Bundestag""; Gewährleistung gleichwertiger Lebensverhältnisse; Allgemeine Energiepolitik; Erneuerbare Energien; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Religion /Weltanschauung; Seniorenpolitik; Gesundheitsversorgung; Pflege; Extremismusbekämpfung; Kriminalitätsbekämpfung; Opferschutz; Kultur; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Rechtspolitik; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Staatsorganisation; Verwaltungstransparenz/Open Government; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Rüstungsangelegenheiten; Verteidigungspolitik; Bank- und Finanzwesen; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",29.03.2022,27.11.2023
Wirtschafliche Vereinigung Zucker e.V.,R001489,5,235000,2020-01-01,2021-09-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; Land- und Forstwirtschaft; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Öffentliche Finanzen, Steuern und Abgaben; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verkehrspolitik; Handel und Dienstleistungen; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,25.02.2022,28.02.2023
Wirtschaftsforum der SPD e.V.,R000328,15,805000,2022-01-01,2022-12-01,"Arbeitsmarkt; Außenwirtschaft; Berufliche Bildung; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Kultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Urheberrecht; Werbung; Integration; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Tourismus; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Rüstungsangelegenheiten; Verteidigungspolitik; Automobilwirtschaft; Bank- und Finanzwesen; E- Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,07.02.2022,06.09.2023
Wirtschaftsjunioren Hameln e.V.,R006268,1,25000,2023-01-01,2023-12-01,"Arbeitsmarkt; Berufliche Bildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Bundestag""; Allgemeine Energiepolitik; Sonstiges im Bereich ""Energie""; Diversitätspolitik; Familienpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Sonstiges im Bereich ""Innere Sicherheit""; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Digitalisierung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Breitensport; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Verkehr""; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",29.09.2023,19.02.2024
Wirtschaftsrat der CDU e.V.,R001795,75,4905000,2022-01-01,2022-12-01,"Arbeitsmarkt; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Sonstiges im Bereich ""Bildung und Erziehung""; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Sonstiges im Bereich ""Innere Sicherheit""; Land- und Forstwirtschaft; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Meinungs- und Pressefreiheit; Urheberrecht; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Sonstiges im Bereich ""Recht""; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Berufsverband,25.02.2022,07.02.2024
Wirtschaftsverband Fuels und Energie e.V. - en2x -,R000885,25,1765000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Öffentliche Finanzen, Steuern und Abgaben; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",Wirtschaftsverband oder Gewerbeverband/-verein,22.02.2022,21.02.2024
Wirtschaftsvereinigung Alkoholfreie Getränke e.V.,R000880,5,395000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; Sonstiges im Bereich ""Gesundheit""; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Werbung; Öffentliche Finanzen, Steuern und Abgaben; Öffentliches Recht; Sonstiges im Bereich ""Recht""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",Wirtschaftsverband oder Gewerbeverband/-verein,22.02.2022,23.06.2023
Wirtschaftsvereinigung Groß- und Außenhandel Hamburg e.V. I WGA,R003427,15,165000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""",Wirtschaftsverband oder Gewerbeverband/-verein,14.03.2022,20.06.2023
Wirtschaftsvereinigung Metalle e.V.,R002614,15,1465000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Berufliche Bildung; Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU- Binnenmarkt; EU-Gesetzgebung; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Datenschutz und Informationssicherheit; Digitalisierung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Sonstiges im Bereich ""Recht""; Öffentlicher Dienst und öffentliche Verwaltung; Verwaltungstransparenz/Open Government; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Rüstungsangelegenheiten; Automobilwirtschaft; Bank- und Finanzwesen; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,02.03.2022,25.03.2024
Wirtschaftsvereinigung Stahl,R002425,25,2025000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; Schulische Bildung; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,01.03.2022,08.03.2024
Wirtschaftsvereinigung der Grünen e.V.,R005751,1,165000,2023-01-01,2023-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; EU- Binnenmarkt; EU-Gesetzgebung; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Ausländer- und Aufenthaltsrecht; Integration; Migration; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Versicherungswesen; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,27.02.2023,27.03.2024
Wolfram Vogel Advisors GmbH,R002436,5,165000,2022-04-01,2023-03-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Cybersicherheit; Sonstiges im Bereich ""Innere Sicherheit""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Ländlicher Raum; Stadtentwicklung; Arbeitslosenversicherung; Grundsicherung; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Luft- und Raumfahrt; Personenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Bank- und Finanzwesen; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Wettbewerbsrecht","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",01.03.2022,20.12.2023
World Vision Deutschland e. V.,R001144,15,1045000,2022-10-01,2023-09-01,Außenpolitik; Menschenrechte; Entwicklungspolitik; Diversitätspolitik; Familienpolitik; Kinder- und Jugendpolitik; Religion/Weltanschauung; Asyl und Flüchtlingsschutz; Migration; Klimaschutz; Nachhaltigkeit und Ressourcenschutz,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",24.02.2022,13.02.2024
Wunderflats GmbH,R003653,5,135000,2022-01-01,2022-12-01,Wohnen,Unternehmen,21.03.2022,10.07.2023
Würth-Gruppe,R001324,5,595000,2021-01-01,2021-12-01,"Außenwirtschaft; Berufliche Bildung; Schulische Bildung; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Kultur; Nachhaltigkeit und Ressourcenschutz; Handel und Dienstleistungen; Handwerk; Wettbewerbsrecht",Unternehmen,24.02.2022,–
Wüstenrot Bausparkasse AG,R003068,5,145000,2022-01-01,2022-12-01,"Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Zivilrecht; Grundsicherung; Rente/Alterssicherung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bank- und Finanzwesen; E-Commerce; Verbraucherschutz",Unternehmen,07.03.2022,09.06.2023
Xempus AG,R000977,5,105000,2022-01-01,2022-12-01,"Arbeitsmarkt; Parlamentarisches Verfahren; EU- Binnenmarkt; EU-Gesetzgebung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Öffentliches Recht; Rechtspolitik; Zivilrecht; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Verwaltungstransparenz/Open Government; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen",Unternehmen,23.02.2022,27.11.2023
YARA GmbH & Co. KG,R002645,5,105000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Arbeitslosenversicherung; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Unfallversicherung; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,02.03.2022,02.03.2023
ZF Friedrichshafen AG,R001500,55,825000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenpolitik; Internationale Beziehungen; Menschenrechte; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; EU- Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Öffentliche Finanzen, Steuern und Abgaben; Ländlicher Raum; Stadtentwicklung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,18.12.2023
ZIV Zweirad-Industrie-Verband e.V. Die Fahrrad-Industrie,R003369,5,795000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Berufliche Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; EU- Binnenmarkt; EU-Gesetzgebung; Gesundheitsförderung; Sonstiges im Bereich ""Gesundheit""; Land- und Forstwirtschaft; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Öffentliches Recht; Breitensport; Profisport; Tourismus; Öffentlicher Dienst und öffentliche Verwaltung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Handel und Dienstleistungen; Handwerk; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,14.03.2022,06.11.2023
ZTE Deutschland GmbH,R005713,5,105000,2021-01-01,2021-12-01,Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik,Unternehmen,15.02.2023,–
ZVEI e. V. - Verband der Elektro- und Digitalindustrie,R002101,55,5035000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Diversitätspolitik; Sonstiges im Bereich ""Gesundheit""; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Urheberrecht; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Stadtentwicklung; Wohnen; Öffentliches Recht; Rechtspolitik; Strafrecht; Zivilrecht; Sonstiges im Bereich ""Recht""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,28.02.2022,09.11.2023
Zahnärztekammer Berlin,R006062,45,35000,2022-01-01,2022-12-01,Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege,"Öffentlich-rechtliche Organisation (z. B. Körperschaften, Anstalten und Stiftungen des öffentlichen Rechts) (GL2022)",16.06.2023,–
Zalando,R003005,5,225000,2022-01-01,2022-12-01,"Datenschutz und Informationssicherheit; Kommunikations- und Informationstechnik; Urheberrecht; Öffentliche Finanzen, Steuern und Abgaben; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht",Unternehmen,07.03.2022,03.04.2023
Zentraler Immobilien Ausschuss (ZIA) e.V.,R002399,25,2205000,2022-01-01,2022-12-01,"Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Handel und Dienstleistungen",Wirtschaftsverband oder Gewerbeverband/-verein,01.03.2022,21.03.2024
Zentralkomitee der deutschen Katholiken e. V.,R002547,25,245000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Parlamentarisches Verfahren; Wahlrecht; Sonstiges im Bereich ""Bundestag""; Allgemeine Energiepolitik; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Religion/Weltanschauung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Extremismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Kultur; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Strafrecht; Grundsicherung; Pflegeversicherung; Rente /Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Verkehrspolitik; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Kirche oder andere Religions- oder Weltanschauungsgemeinschaft,02.03.2022,26.07.2023
