Name,RegNr,Ersteintrag,LetzteÄnd,Tätigkeit,Interessen,FinanzAufw,Betrag,Geschäftsjahr,VollzeitEquiv,Regelungen,Stellungnahmen,GrundVerweig,Beschäftigte,Auftraggeber
Akkon - Hochschule für Humanwissenschaften gemeinnützige GmbH,R001642,25.02.2022,11.07.2023,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)","Hochschulbildung; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Bevölkerungsschutz und Katastrophenhilfe; Extremismusbekämpfung; Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,0,
Westpapua-Netzwerk,R001641,25.02.2022,15.02.2024,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",Außenpolitik; Menschenrechte; Entwicklungspolitik; Artenschutz/Biodiversität; Nachhaltigkeit und Ressourcenschutz,,1 bis 10.000 Euro,01/23 bis 12/23,,,,,1 bis 10,
innos GmbH,R001640,25.02.2022,05.09.2022,Unternehmen,"Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesundheit""; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Digitalisierung; Kommunikations- und Informationstechnik; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Politisches Leben, Parteien; Automobilwirtschaft; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/21 bis 12/21,,,,,31 bis 40,
"Diakonie Deutschland, Evangelisches Werk für Diakonie und",R001639,25.02.2022,10.08.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Sonstiges im Bereich ""Arbeit und Beschäftigung""; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Religion /Weltanschauung; Seniorenpolitik; Gesundheitsversorgung; Pflege; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Sonstiges im Bereich ""Wirtschaft""",,540.001 bis 550.000 Euro,01/22 bis 12/22,,,,,41 bis 50,
MAN Truck & Bus SE,R001638,25.02.2022,30.06.2023,Unternehmen,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Stadtentwicklung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Industriepolitik; Wissenschaft, Forschung und Technologie",,1.170.001 bis 1.180.000 Euro,01/22 bis 12/22,,,,,61 bis 70,
Vertex Pharmaceuticals (Germany) GmbH,R001637,25.02.2022,26.03.2024,Unternehmen,"Arzneimittel; Gesundheitsversorgung; Wissenschaft, Forschung und Technologie",,170.001 bis 180.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Aurubis AG,R001636,25.02.2022,27.02.2024,Unternehmen,"Außenwirtschaft; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Gesetzgebung; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",,960.001 bis 970.000 Euro,10/22 bis 09/23,,,,,21 bis 30,
General Electric Deutschland Holding GmbH,R001635,25.02.2022,11.03.2024,Unternehmen,"Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Klimaschutz; Luft- und Raumfahrt; Rüstungsangelegenheiten; Industriepolitik",,440.001 bis 450.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
HENSOLDT Cyber GmbH,R001634,25.02.2022,10.03.2023,Unternehmen,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Cybersicherheit; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Digitalisierung; Öffentlicher Dienst und öffentliche Verwaltung; Luft- und Raumfahrt; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,30.001 bis 40.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Aktionskreis gegen Produkt- und Markenpiraterie e.V.,R001633,25.02.2022,20.02.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Sonstiges im Bereich ""Bildung und Erziehung""; EU- Binnenmarkt; EU-Gesetzgebung; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Cybersicherheit; Kriminalitätsbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Internetpolitik; Öffentliches Recht; Rechtspolitik; Strafrecht; Zivilrecht; Sonstiges im Bereich ""Recht""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
HENSOLDT Optronics GmbH,R001632,25.02.2022,04.04.2024,Unternehmen,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Cybersicherheit; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Digitalisierung; Öffentlicher Dienst und öffentliche Verwaltung; Luft- und Raumfahrt; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,50.001 bis 60.000 Euro,01/22 bis 12/22,,,,,21 bis 30,
HENSOLDT Sensors GmbH,R001631,25.02.2022,11.03.2024,Unternehmen,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Cybersicherheit; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Digitalisierung; Öffentlicher Dienst und öffentliche Verwaltung; Luft- und Raumfahrt; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,160.001 bis 170.000 Euro,01/22 bis 12/22,,,,,21 bis 30,
Bundesverband der Deutschen Kalkindustrie e. V.,R001630,25.02.2022,23.08.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsrecht/Arbeitsbedingungen; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU- Gesetzgebung; Land- und Forstwirtschaft; Öffentliche Finanzen, Steuern und Abgaben; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,280.001 bis 290.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
BUND Naturschutz in Bayern e.V.,R001629,25.02.2022,22.11.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Verbraucherschutz",,50.001 bis 60.000 Euro,01/22 bis 12/22,,,,,41 bis 50,
HENSOLDT AG,R001628,25.02.2022,09.01.2024,Unternehmen,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Cybersicherheit; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Digitalisierung; Öffentlicher Dienst und öffentliche Verwaltung; Luft- und Raumfahrt; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,1.140.001 bis 1.150.000 Euro,01/22 bis 12/22,,,,,21 bis 30,
Rockwell Collins Deutschland GmbH,R001627,25.02.2022,02.11.2023,Unternehmen,"Gemeinsame Außen- und Sicherheitspolitik der EU; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Extremismusbekämpfung; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Rüstungsangelegenheiten; Wissenschaft, Forschung und Technologie",,50.001 bis 60.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
European Air Transport Leipzig GmbH,R001626,25.02.2022,16.06.2023,Unternehmen,Güterverkehr; Luft- und Raumfahrt,,120.001 bis 130.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
50Hertz Transmission GmbH,R001625,25.02.2022,24.07.2023,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; Sonstiges im Bereich ""Innere Sicherheit""; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Verkehr""",,1.170.001 bis 1.180.000 Euro,01/22 bis 12/22,,,,,31 bis 40,
Stiftung Bürger für Bürger,R001624,25.02.2022,01.06.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Sonstiges im Bereich ""Bildung und Erziehung""; Gewährleistung gleichwertiger Lebensverhältnisse; Diversitätspolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Integration; Wissenschaft, Forschung und Technologie; Förderung des Bürgerschaftlichen Engagements und des demokratischen Staatswesen",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundesverband der Deutschen Sicherheits- und,R001623,25.02.2022,26.09.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Außenpolitik; Außenwirtschaft; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Extremismusbekämpfung; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",,940.001 bis 950.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
Bundesverband der Deutschen Luft- und Raumfahrtindustrie e. V.,R001622,25.02.2022,23.02.2024,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; Erneuerbare Energien; EU-Binnenmarkt; EU- Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Öffentliches Recht; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,1.120.001 bis 1.130.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
German FCMS GbR,R001621,25.02.2022,29.03.2023,Unternehmen,"Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,0,
Arcadis Nederland B.V.,R001620,25.02.2022,01.06.2023,Unternehmen,Erneuerbare Energien,,70.001 bis 80.000 Euro,01/22 bis 12/22,,,,,0,
Rheinischer Landwirtschafts-Verband e.V.,R001619,25.02.2022,05.12.2023,Berufsverband,"Arbeitsrecht/Arbeitsbedingungen; Land- und Forstwirtschaft; Lebensmittelsicherheit; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Ländlicher Raum; Öffentliches Recht; Rechtspolitik; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz",Angabe verweigert,,,,,,,31 bis 40,1
EOS GmbH Electro Optical Systems,R001618,25.02.2022,09.02.2023,Unternehmen,"Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Automobilwirtschaft; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,10/21 bis 09/22,,,,,1 bis 10,
Landesverband der Privatkliniken in Rheinland-Pfalz und dem,R001617,25.02.2022,03.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
"DZ BANK AG Deutsche Zentralgenossenschaftsbank, Frankfurt am",R001616,25.02.2022,24.04.2024,Unternehmen,Bank- und Finanzwesen; Versicherungswesen,,510.001 bis 520.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Robert Bosch Stiftung GmbH,R001615,25.02.2022,08.11.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Außenpolitik; Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Bundestag""; Entwicklungspolitik; EU-Gesetzgebung; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Extremismusbekämpfung; Kriminalitätsbekämpfung; Opferschutz; Kultur; Land- und Forstwirtschaft; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Politisches Leben, Parteien; Wohnen; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Verbraucherschutz; Wissenschaft, Forschung und Technologie",,970.001 bis 980.000 Euro,01/22 bis 12/22,,,,,41 bis 50,
Dr. Schumacher GmbH,R001614,25.02.2022,01.03.2023,Unternehmen,"Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Industriepolitik; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Niedersächsisches Landvolk Kreisverband Wesermünde e.V.,R001613,25.02.2022,23.02.2023,Berufsverband,Land- und Forstwirtschaft,Angabe verweigert,,,,,,,1 bis 10,
secunet Security Networks AG,R001612,25.02.2022,26.04.2023,Unternehmen,"Internationale Beziehungen; Außenwirtschaft; Hochschulbildung; Parlamentarisches Verfahren; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Gesundheit""; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Politisches Leben, Parteien; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Verkehrsinfrastruktur; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Automobilwirtschaft; Industriepolitik; Wissenschaft, Forschung und Technologie",,390.001 bis 400.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Deutsche Gesellschaft für Perinatale Medizin e.V. (DGPM),R001611,25.02.2022,08.02.2024,Sonstige Organisation,"Arbeitsrecht/Arbeitsbedingungen; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Digitalisierung; Wissenschaft, Forschung und Technologie; Schwangerschaft, Geburt und Neugeborene, Pränatale Diagnostik, Geburtshilfe, Frühgeburten, Wochenbett, Stillen, Neonatologie",,0 Euro,01/23 bis 12/23,,,,,0,
Landvolk Niedersachsen - Bauernverband Weserbergland e.V.,R001610,25.02.2022,16.11.2023,Berufsverband,Land- und Forstwirtschaft,Angabe verweigert,,,,,,"Die Interessenvertretung auf Bundesebene erfolgt grundsätzlich durch den Deutschen Bauernverband e.V. (DBV) sowie durch das Landvolk Niedersachsen Landesbauernverband e.V. und nur in Ausnahmefällen durch den Kreisverband. Die Aufwendungen des DBV werden überwiegend über die Mitgliedsbeiträge der Landesbauernverbände finanziert und im Lobbyregister offengelegt. Außerdem sind unsere Mitarbeitenden sowohl in der Interessenvertretung, überwiegend auf Kreisebene, als auch im Dienstleistungsbereich tätig. Deshalb lassen sich aus den vorhandenen Zahlen die gewünschten Angaben leider nicht mit einem vertretbaren Aufwand in der gebotenen Genauigkeit ableiten.",1 bis 10,
Bundesverband Rind und Schwein e. V.,R001609,25.02.2022,26.06.2023,Sonstige Organisation,Land- und Forstwirtschaft,,1.440.001 bis 1.450.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
Health Care Concpet GmbH,R001608,25.02.2022,09.02.2023,Unternehmen,"Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
freenet AG,R001607,25.02.2022,04.04.2023,Unternehmen,"Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Zivilrecht; Sonstiges im Bereich ""Recht""; E-Commerce; Handel und Dienstleistungen; Wettbewerbsrecht; Telekommunikationspolitik",,340.001 bis 350.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
adp Merkur GmbH,R001606,25.02.2022,10.01.2024,Unternehmen,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; EU-Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Kriminalitätsbekämpfung; Öffentliche Finanzen, Steuern und Abgaben; Sonstiges im Bereich ""Recht""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht",,170.001 bis 180.000 Euro,01/22 bis 12/22,,,,,0,
Landesverband der Privatkliniken in Hessen e.V.,R001605,25.02.2022,03.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bund Ökologische Lebensmittelwirtschaft e.V. (BÖLW),R001604,25.02.2022,22.12.2022,Wirtschaftsverband oder Gewerbeverband/-verein,"EU-Gesetzgebung; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wissenschaft, Forschung und Technologie",,40.001 bis 50.000 Euro,01/21 bis 12/21,,,,,21 bis 30,
Merkur.com AG,R001603,25.02.2022,26.03.2024,Unternehmen,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Kriminalitätsbekämpfung; Datenschutz und Informationssicherheit; Digitalisierung; Werbung; Öffentliche Finanzen, Steuern und Abgaben; Stadtentwicklung; Öffentliches Recht; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Verwaltungstransparenz /Open Government; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; E-Commerce; Verbraucherschutz; Wettbewerbsrecht",,70.001 bis 80.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
"Das bundesweite Netzwerk Flucht, Migration und Behinderung",R001602,25.02.2022,04.03.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Menschenrechte; Berufliche Bildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Diversitätspolitik; Rechte von Menschen mit Behinderung; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Kultur; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Politisches Leben, Parteien; Sonstiges im Bereich ""Soziale Sicherung""; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Personenverkehr; Sonstiges im Bereich ""Verkehr""; Wissenschaft, Forschung und Technologie; Barrierefreiheit, Selbstvertretung",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Generali Deutschland AG,R001601,25.02.2022,26.09.2023,Unternehmen,Diversitätspolitik; Digitalisierung; Rente/Alterssicherung; Nachhaltigkeit und Ressourcenschutz; Versicherungswesen,,1.010.001 bis 1.020.000 Euro,01/22 bis 12/22,,,,,11 bis 20,
Carpus e.V.,R001600,25.02.2022,08.02.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Entwicklungspolitik; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
WerteInitiative e.V.,R001599,25.02.2022,26.04.2024,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Außenpolitik; Religion/Weltanschauung; Extremismusbekämpfung; Terrorismusbekämpfung; Kultur; Integration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Politisches Leben, Parteien; Öffentliches Recht; Strafrecht; Sicherung einer jüdischen Zukunft in Deutschland",,220.001 bis 230.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Allgemeiner Deutscher Fahrrad-Club e.V. (ADFC),R001598,25.02.2022,20.03.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,Tourismus; Straßenverkehr; Verkehrspolitik,,410.001 bis 420.000 Euro,01/23 bis 12/23,14.49,,,,,
